config_id,label,fold_id,operating_point,fpr_target,target_reached,threshold,benign_fp,benign_support,benign_fpr,ddos_recall,dos_recall,mqtt_recall,recon_recall,spoof_recall,macro_attack_family_recall,min_supported_family_recall,supported_families_present,fit_seconds,train_rows,val_rows
H8,slower_boosting,1,primary,0.0025,True,0.9904378652572632,216,86435,0.002498987678602418,0.9991166666666667,0.9974,0.9285246310797741,0.6621621621621622,,0.8968008649771507,0.6621621621621622,DDoS|DoS|MQTT|Recon,14.438030207995325,465521,238784
H8,slower_boosting,1,secondary,0.001,True,0.9950324296951294,86,86435,0.0009949673164805924,0.9989833333333333,0.99735,0.926590334758057,0.625,,0.8869809170228475,0.625,DDoS|DoS|MQTT|Recon,14.438030207995325,465521,238784
H8,slower_boosting,2,primary,0.0025,True,0.6942824125289917,205,83013,0.002469492730054329,0.99955,0.9968333333333333,0.4084333333333333,0.9406739298684289,,0.8363726491337738,0.4084333333333333,DDoS|DoS|MQTT|Recon,15.401309999637306,437698,266607
H8,slower_boosting,2,secondary,0.001,True,0.7662888169288635,81,83013,0.0009757507860214665,0.9995,0.9965833333333334,0.38276666666666664,0.9361195451568732,,0.8287423862892183,0.38276666666666664,DDoS|DoS|MQTT|Recon,15.401309999637306,437698,266607
H9,faster_boosting,0,primary,0.0025,True,0.977097749710083,104,41622,0.002498678583441449,0.9658833333333333,0.91645,0.9977333333333334,0.5799769850402762,0.02382064455861747,0.8650109129267358,0.5799769850402762,DDoS|DoS|MQTT|Recon,6.490452500060201,505391,198914
H9,faster_boosting,0,secondary,0.001,True,0.9911099672317505,41,41622,0.0009850559800105713,0.7259166666666667,0.024366666666666665,0.9961666666666666,0.5788262370540852,0.01619181068036743,0.5813190592635212,0.024366666666666665,DDoS|DoS|MQTT|Recon,6.490452500060201,505391,198914
H9,faster_boosting,1,primary,0.0025,True,0.9924699664115906,216,86435,0.002498987678602418,0.9991666666666666,0.9973166666666666,0.928368639440926,0.6587837837837838,,0.8959089391395108,0.6587837837837838,DDoS|DoS|MQTT|Recon,5.6044868333265185,465521,238784
H9,faster_boosting,1,secondary,0.001,True,0.9963065981864929,86,86435,0.0009949673164805924,0.9989666666666667,0.9971666666666666,0.9252800049917325,0.5912162162162162,,0.8781573886353206,0.5912162162162162,DDoS|DoS|MQTT|Recon,5.6044868333265185,465521,238784
H9,faster_boosting,2,primary,0.0025,True,0.7922205924987793,198,83013,0.002385168588052474,0.9995,0.99685,0.2962666666666667,0.9347800202417098,,0.806849171727094,0.2962666666666667,DDoS|DoS|MQTT|Recon,5.878865291364491,437698,266607
H9,faster_boosting,2,secondary,0.001,True,0.8569056391716003,80,83013,0.0009637044800212015,0.9994666666666666,0.9964166666666666,0.25993333333333335,0.9298684288861107,,0.7964212738881943,0.25993333333333335,DDoS|DoS|MQTT|Recon,5.878865291364491,437698,266607
H10,feature_subsampling,0,primary,0.0025,True,0.9805000424385071,104,41622,0.002498678583441449,0.962,0.9165166666666666,0.9971333333333333,0.5799769850402762,0.021173906274326637,0.863906746260069,0.5799769850402762,DDoS|DoS|MQTT|Recon,8.743604457937181,505391,198914
H10,feature_subsampling,0,secondary,0.001,True,0.9908003211021423,41,41622,0.0009850559800105713,0.7157666666666667,0.0027,0.9948666666666667,0.5776754890678941,0.015413358243811303,0.5727522056003069,0.0027,DDoS|DoS|MQTT|Recon,8.743604457937181,505391,198914
H10,feature_subsampling,1,primary,0.0025,True,0.9888187646865845,216,86435,0.002498987678602418,0.9990666666666667,0.9973666666666666,0.9289926059963186,0.6385135135135135,,0.8909848632107914,0.6385135135135135,DDoS|DoS|MQTT|Recon,7.809082875028253,465521,238784
H10,feature_subsampling,1,secondary,0.001,True,0.9950833320617676,86,86435,0.0009949673164805924,0.9989666666666667,0.9971166666666667,0.9266527314135963,0.5540540540540541,,0.8691975297002459,0.5540540540540541,DDoS|DoS|MQTT|Recon,7.809082875028253,465521,238784
H10,feature_subsampling,2,primary,0.0025,True,0.7235832214355469,207,83013,0.002493585342054859,0.9995166666666667,0.99685,0.2899,0.9392451032922545,,0.8063779424897303,0.2899,DDoS|DoS|MQTT|Recon,7.035467875190079,437698,266607
H10,feature_subsampling,2,secondary,0.001,True,0.7851942181587219,81,83013,0.0009757507860214665,0.9994833333333333,0.9968333333333333,0.26306666666666667,0.935524200750134,,0.7987268835208667,0.26306666666666667,DDoS|DoS|MQTT|Recon,7.035467875190079,437698,266607
H11,regularized_combination,0,primary,0.0025,True,0.9781497120857239,104,41622,0.002498678583441449,0.14498333333333333,0.00915,0.9975,0.5799769850402762,0.02148528724894909,0.4329025795934024,0.00915,DDoS|DoS|MQTT|Recon,8.090252208057791,505391,198914
H11,regularized_combination,0,secondary,0.001,True,0.9876843690872192,41,41622,0.0009850559800105713,0.0022,0.00605,0.9963333333333333,0.5799769850402762,0.015569048731122529,0.39614007959340236,0.0022,DDoS|DoS|MQTT|Recon,8.090252208057791,505391,198914
H11,regularized_combination,1,primary,0.0025,True,0.9895695447921753,216,86435,0.002498987678602418,0.9989833333333333,0.9972833333333333,0.9280566561632296,0.5844594594594594,,0.877195695572339,0.5844594594594594,DDoS|DoS|MQTT|Recon,8.366134624928236,465521,238784
H11,regularized_combination,1,secondary,0.001,True,0.9940515756607056,86,86435,0.0009949673164805924,0.99835,0.9970833333333333,0.9264031447914391,0.4966216216216216,,0.8546145249365985,0.4966216216216216,DDoS|DoS|MQTT|Recon,8.366134624928236,465521,238784
H11,regularized_combination,2,primary,0.0025,True,0.7014443874359131,205,83013,0.002469492730054329,0.9995333333333334,0.9968166666666667,0.3545333333333333,0.9398404476989939,,0.8226809452580819,0.3545333333333333,DDoS|DoS|MQTT|Recon,8.261378208175302,437698,266607
H11,regularized_combination,2,secondary,0.001,True,0.7509622573852539,81,83013,0.0009757507860214665,0.9995,0.9967333333333334,0.3309666666666667,0.9364172173602429,,0.8159043043400608,0.3309666666666667,DDoS|DoS|MQTT|Recon,8.261378208175302,437698,266607
